temperature,pressure,loading
323,0,0
323,0.01987,0.01557
323,0.03065,0.02603
323,0.04129,0.03579
323,0.05083,0.04447
323,0.06202,0.05435
323,0.071,0.06252
323,0.08151,0.07159
323,0.09049,0.07949
323,0.10168,0.08928
323,0.13153,0.11499
323,0.16152,0.14033
323,0.1922,0.16614
323,0.2208,0.19087
323,0.25162,0.21777
323,0.2816,0.24295
323,0.31201,0.26833
323,0.34089,0.29246
323,0.37184,0.31799
323,0.40155,0.3429
323,0.43099,0.36709
323,0.46125,0.39225
323,0.49124,0.41713
323,0.52205,0.44246
323,0.5508,0.46617
323,0.5812,0.49133
323,0.6116,0.51608
323,0.64104,0.54022
323,0.67088,0.56498
323,0.70129,0.58966
323,0.73183,0.61516
323,0.76071,0.63938
323,0.79125,0.66465
323,0.82123,0.68997
323,0.85053,0.71437
323,0.88066,0.73967
323,0.91092,0.76542
323,0.9416,0.79142
323,0.97006,0.81564
323,1.00074,0.84294
323,1.24893,1.0496
323,1.49892,1.27762
323,1.7489,1.50435
323,1.99902,1.72774
323,2.24915,1.94921
323,2.49789,2.15748
323,2.7476,2.37045
323,2.998,2.57334
323,3.24798,2.7672
323,3.49783,2.95449
323,3.74837,3.13529
323,3.99849,3.30741
323,4.24861,3.45448
323,4.49791,3.60253
323,4.74872,3.73899
323,4.99884,3.87783
323,5.24869,3.99824
323,5.49881,4.11635
323,5.74769,4.21792
323,5.9974,4.32233
323,6.24766,4.41734
323,6.49806,4.50901
323,6.74791,4.59618
323,6.99845,4.67956
323,7.24871,4.75587
323,7.49828,4.82965
323,7.74937,4.89487
323,7.99852,4.96055
323,8.24961,5.02981
323,8.49918,5.08431
323,8.74889,5.14219
323,8.9986,5.20252
323,9.24983,5.24166
323,9.49733,5.29205
323,9.74856,5.34158
323,9.99965,5.37956
